
 *************************************** 
 ID : 	 28160597f71b417a533b7a6c56df5211 
 Time :  	 [2025/10/05 20:51:53] 
 Method :  	 GET 
 Path :  	 /cards 
 Status :  	 404 
 Delay :  	 36.480 ms 
 Status Message :  	 Not Found 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 eb50f68691498498a9c22b85a209b992 
 Time :  	 [2025/10/05 20:52:46] 
 Method :  	 POST 
 Path :  	 /users 
 Status :  	 400 
 Delay :  	 2.188 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 95944dc75602575e33901e8977ddab34 
 Time :  	 [2025/10/05 20:58:09] 
 Method :  	 POST 
 Path :  	 /users/login 
 Status :  	 401 
 Delay :  	 222.840 ms 
 Status Message :  	 Unauthorized 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 e9690e96a53b58c839043fc6656ceea2 
 Time :  	 [2025/10/05 21:08:07] 
 Method :  	 POST 
 Path :  	 /users/login 
 Status :  	 401 
 Delay :  	 704.021 ms 
 Status Message :  	 Unauthorized 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 daed5d60c2b488c1a8d9b531f9fe048b 
 Time :  	 [2025/10/05 21:09:00] 
 Method :  	 POST 
 Path :  	 /users/login 
 Status :  	 401 
 Delay :  	 737.800 ms 
 Status Message :  	 Unauthorized 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 5c4a62f4a312a1803024666173dfa99e 
 Time :  	 [2025/10/05 21:11:33] 
 Method :  	 POST 
 Path :  	 /users/login 
 Status :  	 401 
 Delay :  	 263.706 ms 
 Status Message :  	 Unauthorized 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 6f322b91f3b9af33d1fd0a34aaf6a178 
 Time :  	 [2025/10/05 21:11:52] 
 Method :  	 POST 
 Path :  	 /users/login 
 Status :  	 401 
 Delay :  	 254.927 ms 
 Status Message :  	 Unauthorized 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 a460dca494039d1e4388dae5b8fe2b16 
 Time :  	 [2025/10/05 21:22:01] 
 Method :  	 POST 
 Path :  	 /users/dummyData 
 Status :  	 400 
 Delay :  	 303.946 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 b6566fafba5438ff0c8ebfb7fcf492c3 
 Time :  	 [2025/10/05 21:23:31] 
 Method :  	 POST 
 Path :  	 /users/dummyData 
 Status :  	 400 
 Delay :  	 486.917 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 26782a56fa2ae6ca3c330f1c40e93584 
 Time :  	 [2025/10/05 21:23:56] 
 Method :  	 POST 
 Path :  	 /users/dummyData 
 Status :  	 400 
 Delay :  	 404.056 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 fa1a007443b7754bda7eaec0cd86de9b 
 Time :  	 [2025/10/05 21:30:03] 
 Method :  	 POST 
 Path :  	 /users/dummyData 
 Status :  	 400 
 Delay :  	 318.246 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 0bbf4de99267df5476dc3e12d3034ef2 
 Time :  	 [2025/10/05 21:35:13] 
 Method :  	 POST 
 Path :  	 /cards/duumyCard 
 Status :  	 404 
 Delay :  	 12.085 ms 
 Status Message :  	 Not Found 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 f04c936c99ab6556861c5ba38e4b17b9 
 Time :  	 [2025/10/05 21:44:04] 
 Method :  	 POST 
 Path :  	 /cards 
 Status :  	 400 
 Delay :  	 39.634 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
 *************************************** 
 ID : 	 0b9cb9ab26cce39106dc6d74960a52f9 
 Time :  	 [2025/10/05 21:57:48] 
 Method :  	 POST 
 Path :  	 /users 
 Status :  	 400 
 Delay :  	 261.355 ms 
 Status Message :  	 Bad Request 
 User Agent :  	 PostmanRuntime/7.46.1
